,lat,lon,lat_mod,lon_mod,distance,side,in_range,Julian_Date,Year,Month,Day,Hour,Minute,Second,Seconds_Elapsed,COG_T,SOG_K,pressure_B,wind_dir_T,wind_speed_M,rateofturn
3047,4145.4858,7041.0774,41.7580966667,-70.6846233333,-44.4176210012,1.0,1.0,2457947.125,2017,7,12,15.0,0.0,0.1,1090800.1,7.3,5.1,1.0149,113.2,1.9,0.0
3048,4145.4868,7041.0774,41.7581133333,-70.6846233333,-44.681444635,1.0,1.0,2457947.12501,2017,7,12,15.0,0.0,1.1,1090801.1,8.8,5.5,1.015,107.9,2.0,0.0
3049,4145.4879,7041.0775,41.7581316667,-70.684625,-45.1933602338,1.0,1.0,2457947.12502,2017,7,12,15.0,0.0,2.1,1090802.1,8.3,5.5,1.015,111.3,2.0,0.0
3050,4145.4889,7041.0778,41.7581483333,-70.68463,-46.0135551628,1.0,1.0,2457947.12504,2017,7,12,15.0,0.0,3.1,1090803.1,3.9,5.1,1.0148,114.9,1.7,0.0
3051,4145.4896,7041.0782,41.75816,-70.6846366667,-46.8784239895,1.0,1.0,2457947.12505,2017,7,12,15.0,0.0,4.1,1090804.1,350.9,4.6,1.0151,124.6,1.5,0.0
3052,4145.4901,7041.0791,41.7581683333,-70.6846516667,-48.327870976,1.0,1.0,2457947.12506,2017,7,12,15.0,0.0,5.1,1090805.1,334.3,4.0,1.0148,123.0,1.6,0.0
3053,4145.4905,7041.0799,41.758175,-70.684665,-49.5979382481,1.0,1.0,2457947.12507,2017,7,12,15.0,0.0,6.1,1090806.1,317.8,3.5,1.015,108.5,1.9,0.0
3054,4145.4905,7041.0809,41.758175,-70.6846816667,-50.9250751686,1.0,1.0,2457947.12508,2017,7,12,15.0,0.0,7.1,1090807.1,294.1,3.1,1.015,105.8,1.7,0.0
3055,4145.4904,7041.0818,41.7581733333,-70.6846966667,-52.0720404559,1.0,1.0,2457947.12509,2017,7,12,15.0,0.0,8.1,1090808.1,270.9,2.7,1.015,100.5,1.5,0.0
3056,4145.49,7041.0824,41.7581666667,-70.6847066667,-52.6812904944,1.0,1.0,2457947.12511,2017,7,12,15.0,0.0,9.1,1090809.1,237.8,2.4,1.0149,102.4,2.0,0.0
3057,4145.4895,7041.0825,41.7581583333,-70.6847083333,-52.5911924366,1.0,1.0,2457947.12512,2017,7,12,15.0,0.0,10.1,1090810.1,203.1,2.2,1.0149,96.8,1.7,0.0
3058,4145.489,7041.0824,41.75815,-70.6847066667,-52.2476535187,1.0,1.0,2457947.12513,2017,7,12,15.0,0.0,11.1,1090811.1,176.1,2.4,1.0151,91.8,1.9,0.0
3059,4145.4888,7041.0818,41.7581466667,-70.6846966667,-51.357530221,1.0,1.0,2457947.12514,2017,7,12,15.0,0.0,12.1,1090812.1,144.7,2.4,1.0152,92.5,2.3,0.0
