,Julian_Date,SweepGas_Press_Avg,Year,Month,Day,Hour,Minute,Second,Seconds_Elapsed
59352,2457947.117,2360,2017,7,12,14.0,48.0,29.0,1090109.0
59353,2457947.11701,2358,2017,7,12,14.0,48.0,30.0,1090110.0
59354,2457947.11703,2356,2017,7,12,14.0,48.0,31.0,1090111.0
59355,2457947.11704,2354,2017,7,12,14.0,48.0,32.0,1090112.0
59356,2457947.11705,2355,2017,7,12,14.0,48.0,33.0,1090113.0
59357,2457947.11706,2357,2017,7,12,14.0,48.0,34.0,1090114.0
59358,2457947.11707,2360,2017,7,12,14.0,48.0,35.0,1090115.0
59359,2457947.11708,2362,2017,7,12,14.0,48.0,36.0,1090116.0
59360,2457947.11709,2359,2017,7,12,14.0,48.0,37.0,1090117.0
59361,2457947.11711,2358,2017,7,12,14.0,48.0,38.0,1090118.0
59362,2457947.11712,2357,2017,7,12,14.0,48.0,39.0,1090119.0
59363,2457947.11713,2358,2017,7,12,14.0,48.0,40.0,1090120.0
59364,2457947.11714,2358,2017,7,12,14.0,48.0,41.0,1090121.0
59365,2457947.11715,2359,2017,7,12,14.0,48.0,42.0,1090122.0
59366,2457947.11716,2357,2017,7,12,14.0,48.0,43.0,1090123.0
59367,2457947.11718,2354,2017,7,12,14.0,48.0,44.0,1090124.0
59368,2457947.11719,2354,2017,7,12,14.0,48.0,45.0,1090125.0
59369,2457947.1172,2359,2017,7,12,14.0,48.0,46.0,1090126.0
59370,2457947.11721,2360,2017,7,12,14.0,48.0,47.0,1090127.0
59371,2457947.11722,2357,2017,7,12,14.0,48.0,48.0,1090128.0
59372,2457947.11723,2357,2017,7,12,14.0,48.0,49.0,1090129.0
59373,2457947.11725,2358,2017,7,12,14.0,48.0,50.0,1090130.0
59374,2457947.11726,2358,2017,7,12,14.0,48.0,51.0,1090131.0
59375,2457947.11727,2359,2017,7,12,14.0,48.0,52.0,1090132.0
59376,2457947.11728,2358,2017,7,12,14.0,48.0,53.0,1090133.0
59377,2457947.11729,2356,2017,7,12,14.0,48.0,54.0,1090134.0
59378,2457947.1173,2354,2017,7,12,14.0,48.0,55.0,1090135.0
59379,2457947.11731,2355,2017,7,12,14.0,48.0,56.0,1090136.0
59380,2457947.11733,2358,2017,7,12,14.0,48.0,57.0,1090137.0
59381,2457947.11734,2360,2017,7,12,14.0,48.0,58.0,1090138.0
59382,2457947.11735,2361,2017,7,12,14.0,48.0,59.0,1090139.0
