,Time,Year,Month,Day,Hour,Minute,Second,Seconds_Elapsed,Julian_Date,CH4_ppm,CO2_ppm,CH4_ppm_adjusted,CO2_ppm_adjusted
3491,07/12/2017 14:48:29.085,2017,7,12,14.0,48.0,29.085,1090109.085,2457947.117,55.0548,6105.91,83.4510862421,1785.56201861
3492,07/12/2017 14:48:30.062,2017,7,12,14.0,48.0,30.062,1090110.062,2457947.11701,55.1099,6103.26,83.5370364075,1784.78707444
3493,07/12/2017 14:48:31.041,2017,7,12,14.0,48.0,31.041,1090111.041,2457947.11703,55.1738,6103.14,83.6367136412,1784.75198263
3494,07/12/2017 14:48:32.017,2017,7,12,14.0,48.0,32.017,1090112.017,2457947.11704,55.2692,6100.58,83.7855275392,1784.00335732
3495,07/12/2017 14:48:32.994,2017,7,12,14.0,48.0,32.994,1090112.994,2457947.11705,55.3791,6097.68,83.9569599019,1783.15530521
3496,07/12/2017 14:48:33.971,2017,7,12,14.0,48.0,33.971,1090113.971,2457947.11706,55.3613,6105.43,83.9291937868,1785.42165136
3497,07/12/2017 14:48:34.948,2017,7,12,14.0,48.0,34.948,1090114.948,2457947.11707,55.5672,6086.12,84.250375984,1779.77479404
3498,07/12/2017 14:48:35.925,2017,7,12,14.0,48.0,35.925,1090115.925,2457947.11708,55.6654,6081.71,84.4035575856,1778.48516998
3499,07/12/2017 14:48:36.902,2017,7,12,14.0,48.0,36.902,1090116.902,2457947.11709,55.6479,6088.21,84.3762594386,1780.38597643
3500,07/12/2017 14:48:37.878,2017,7,12,14.0,48.0,37.878,1090117.878,2457947.11711,55.7545,6080.24,84.5425441508,1778.05529529
3501,07/12/2017 14:48:38.856,2017,7,12,14.0,48.0,38.856,1090118.856,2457947.11712,55.8282,6074.68,84.6575083467,1776.42937469
3502,07/12/2017 14:48:39.833,2017,7,12,14.0,48.0,39.833,1090119.833,2457947.11713,55.8814,6071.29,84.7404947133,1775.43803102
3503,07/12/2017 14:48:40.809,2017,7,12,14.0,48.0,40.809,1090120.809,2457947.11714,55.9626,6070.42,84.867158115,1775.18361538
3504,07/12/2017 14:48:41.786,2017,7,12,14.0,48.0,41.786,1090121.786,2457947.11715,56.0537,6067.1,85.0092644684,1774.21274194
3505,07/12/2017 14:48:42.763,2017,7,12,14.0,48.0,42.763,1090122.763,2457947.11716,56.1527,6062.97,85.1636939853,1773.00499876
3506,07/12/2017 14:48:43.738,2017,7,12,14.0,48.0,43.738,1090123.738,2457947.11717,56.2331,6056.15,85.2891094717,1771.01061414
3507,07/12/2017 14:48:44.717,2017,7,12,14.0,48.0,44.717,1090124.717,2457947.11718,56.3058,6051.06,85.4025137735,1769.52213648
3508,07/12/2017 14:48:45.694,2017,7,12,14.0,48.0,45.694,1090125.694,2457947.1172,56.374,6040.97,85.5088985518,1766.5715
3509,07/12/2017 14:48:46.670,2017,7,12,14.0,48.0,46.67,1090126.67,2457947.11721,56.4081,6047.68,85.562090941,1768.53371712
