,Julian_Date,0.00,Year,Month,Day,Hour,Minute,Second,Seconds_Elapsed
40494,2457947.11706,16.28,2017,7,12,14,48,33.9516,1090113.9516
40505,2457947.11725,16.31,2017,7,12,14,48,50.7348,1090130.7348
40506,2457947.11728,16.45,2017,7,12,14,48,53.028,1090133.028
40507,2457947.11731,15.6,2017,7,12,14,48,55.3392,1090135.3392
40508,2457947.11733,16.22,2017,7,12,14,48,57.636,1090137.636
40509,2457947.11736,15.64,2017,7,12,14,48,59.9508,1090139.9508
40510,2457947.11739,15.32,2017,7,12,14,49,2.2656,1090142.2656
40511,2457947.11741,15.0,2017,7,12,14,49,4.584,1090144.584
40512,2457947.11744,15.35,2017,7,12,14,49,6.8808,1090146.8808
40513,2457947.11747,15.8,2017,7,12,14,49,9.1956,1090149.1956
40514,2457947.11749,15.04,2017,7,12,14,49,11.4924,1090151.4924
40517,2457947.11756,15.12,2017,7,12,14,49,17.4432,1090157.4432
40518,2457947.11759,15.51,2017,7,12,14,49,19.7508,1090159.7508
40519,2457947.11762,15.53,2017,7,12,14,49,22.0584,1090162.0584
40520,2457947.11764,15.75,2017,7,12,14,49,24.3444,1090164.3444
40521,2457947.11767,15.48,2017,7,12,14,49,26.6556,1090166.6556
40522,2457947.1177,15.02,2017,7,12,14,49,28.9452,1090168.9452
40523,2457947.11772,16.27,2017,7,12,14,49,31.2564,1090171.2564
40524,2457947.11775,15.65,2017,7,12,14,49,33.5964,1090173.5964
40525,2457947.11778,15.19,2017,7,12,14,49,35.9076,1090175.9076
40536,2457947.11797,15.58,2017,7,12,14,49,52.4928,1090192.4928
40547,2457947.11816,15.59,2017,7,12,14,50,9.2652,1090209.2652
40558,2457947.11835,14.77,2017,7,12,14,50,25.8468,1090225.8468
40559,2457947.11838,15.19,2017,7,12,14,50,28.14,1090228.14
40560,2457947.11841,15.87,2017,7,12,14,50,30.4548,1090230.4548
40561,2457947.11843,14.81,2017,7,12,14,50,32.7516,1090232.7516
40562,2457947.11846,14.98,2017,7,12,14,50,35.088,1090235.088
40563,2457947.11849,16.1,2017,7,12,14,50,37.3812,1090237.3812
40564,2457947.11852,15.15,2017,7,12,14,50,39.6996,1090239.6996
40565,2457947.11854,14.98,2017,7,12,14,50,42.0,1090242.0
40566,2457947.11857,15.02,2017,7,12,14,50,44.322,1090244.322
40567,2457947.1186,15.28,2017,7,12,14,50,46.6116,1090246.6116
40570,2457947.11866,15.7,2017,7,12,14,50,52.5732,1090252.5732
40571,2457947.11869,15.64,2017,7,12,14,50,54.8592,1090254.8592
40572,2457947.11872,14.84,2017,7,12,14,50,57.1668,1090257.1668
40573,2457947.11874,15.6,2017,7,12,14,50,59.46,1090259.46
40574,2457947.11877,15.4,2017,7,12,14,51,1.7712,1090261.7712
40575,2457947.1188,16.1,2017,7,12,14,51,4.05719999999,1090264.0572
40586,2457947.11899,15.16,2017,7,12,14,51,20.592,1090280.592
40597,2457947.11918,14.98,2017,7,12,14,51,37.1664,1090297.1664
40598,2457947.11921,15.56,2017,7,12,14,51,39.4596,1090299.4596
40599,2457947.11923,14.74,2017,7,12,14,51,41.7816,1090301.7816
40600,2457947.11926,14.56,2017,7,12,14,51,44.0784,1090304.0784
40601,2457947.11929,15.05,2017,7,12,14,51,46.4112,1090306.4112
40602,2457947.11931,15.18,2017,7,12,14,51,48.708,1090308.708
40603,2457947.11934,15.11,2017,7,12,14,51,51.03,1090311.03
40604,2457947.11937,14.34,2017,7,12,14,51,53.3268,1090313.3268
40605,2457947.11939,15.43,2017,7,12,14,51,55.6488,1090315.6488
40606,2457947.11942,15.51,2017,7,12,14,51,57.942,1090317.942
40609,2457947.11949,14.5,2017,7,12,14,52,3.9036,1090323.9036
40610,2457947.11952,15.85,2017,7,12,14,52,6.1932,1090326.1932
40611,2457947.11954,15.39,2017,7,12,14,52,8.5044,1090328.5044
40622,2457947.11974,16.13,2017,7,12,14,52,25.23,1090345.23
40623,2457947.11976,14.93,2017,7,12,14,52,27.5376,1090347.5376
40634,2457947.11996,15.49,2017,7,12,14,52,44.1228,1090364.1228
40635,2457947.11998,15.16,2017,7,12,14,52,46.4412,1090366.4412
40636,2457947.12001,15.43,2017,7,12,14,52,48.7668,1090368.7668
40637,2457947.12004,15.65,2017,7,12,14,52,51.2436,1090371.2436
40638,2457947.12006,15.44,2017,7,12,14,52,53.5656,1090373.5656
40639,2457947.12009,15.57,2017,7,12,14,52,55.8624,1090375.8624
40640,2457947.12012,15.45,2017,7,12,14,52,58.188,1090378.188
40641,2457947.12014,15.32,2017,7,12,14,53,0.481200000005,1090380.4812
40642,2457947.12017,15.11,2017,7,12,14,53,2.8032,1090382.8032
40643,2457947.1202,15.06,2017,7,12,14,53,5.11799999999,1090385.118
40646,2457947.12027,14.6,2017,7,12,14,53,11.0868,1090391.0868
40647,2457947.12029,14.8,2017,7,12,14,53,13.38,1090393.38
40648,2457947.12032,15.51,2017,7,12,14,53,15.6912,1090395.6912
40649,2457947.12035,15.39,2017,7,12,14,53,17.9808,1090397.9808
